env_steps,vector_steps,replay_size,critic_updates,actor_updates,environment_steps_per_second,update_calls_in_interval,critic_updates_in_interval,actor_updates_in_interval,target_updates_in_interval,critic1_loss_mean,critic2_loss_mean,q1_mean,q2_mean,target_q_mean,q1_q2_abs_gap_mean,td_error_abs_mean,critic1_grad_norm_pre_clip_mean,critic2_grad_norm_pre_clip_mean,critic1_grad_clipped_fraction,critic2_grad_clipped_fraction,critic1_loss_max,critic2_loss_max,q1_q2_abs_gap_max,td_error_abs_max,critic1_grad_norm_pre_clip_max,critic2_grad_norm_pre_clip_max,actor_loss_mean,sampled_log_prob_mean,deterministic_action_abs_mean,stochastic_action_abs_mean,action_saturation_fraction_mean,actor_grad_norm_pre_clip_mean,actor_grad_clipped_fraction,actor_loss_last,action_saturation_fraction_max,actor_grad_norm_pre_clip_max,completed_episodes,red_complete_elimination_success_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return
51200,6400,51200,3901,1950,169.38124136140038,256,256,128,128,2.3184341629967093,2.148560738307424,-0.10830010619929453,-0.10289615957125875,-0.10364565963504901,0.18805569087271579,0.32072439114563167,69.29705180041492,67.26568694226444,0.97265625,0.99609375,7.700747013092041,6.918313980102539,51.375091552734375,50.47313690185547,264.77069091796875,273.91357421875,-0.16383058676001383,-1.6310340547934175,0.24924382145776613,0.5128665616620331,0.009494215055334761,0.1806103877024725,0.0,-0.17281723022460938,0.012416427889207259,0.555145800113678,5,0.0,0.0,1.6,0.0,2.6,1.4,0.0,0.0,411.2,-95.2794841740124
53248,6656,53248,4157,2078,170.1224125662172,256,256,128,128,2.6839760690927505,2.5528397215530276,-0.1088459323054849,-0.11880946622659394,-0.10409528292711911,0.19133047529612668,0.330714775423985,77.73906648904085,87.52843946963549,1.0,0.9921875,6.62592077255249,6.121192932128906,56.897823333740234,50.69607162475586,301.87286376953125,477.01165771484375,-0.15013007440575166,-1.6243808716535568,0.25319946947125005,0.5088310730554336,0.00860115602081287,0.20469007297651842,0.0,-0.10695153474807739,0.011835948252133223,0.6158983111381531,7,0.0,0.0,1.8571428571428572,0.2857142857142857,2.4285714285714284,0.8571428571428571,0.0,0.2857142857142857,422.2857142857143,-79.8603729835925
55296,6912,55296,4413,2206,170.79791834496433,256,256,128,128,2.772197501268238,2.6806525965221226,-0.10998162492370511,-0.10778485243235991,-0.10260281596452359,0.2009074258385226,0.337063959275838,79.54246774688363,82.87923040986061,0.99609375,1.0,9.148710250854492,9.177709579467773,46.842342376708984,50.840789794921875,328.10113525390625,681.7406005859375,-0.15154144182997697,-1.611801790073514,0.2532203376504248,0.507170476409871,0.008357235378243951,0.23346636060159653,0.0,-0.25931501388549805,0.011470425649530127,0.6614786386489868,2,0.0,0.0,1.5,0.0,2.0,1.5,0.0,0.0,494.5,-96.20814502687426
57344,7168,57344,4669,2334,171.31259253608977,256,256,128,128,2.646067282301374,2.5374198695644736,-0.10011280225126029,-0.09505550311223487,-0.08666347584983214,0.19861131062498316,0.3317290781997144,82.40770496428013,87.23304757475853,0.99609375,1.0,7.666101455688477,6.991680145263672,53.84114074707031,50.994720458984375,498.25469970703125,564.5361938476562,-0.15808426213698112,-1.6046121921390295,0.25742835088045757,0.5059914154177564,0.008249949570719183,0.25668164156377316,0.0,-0.12912680208683014,0.01183673469387755,0.8729348182678223,8,0.0,0.0,1.75,0.0,2.75,1.25,0.0,0.0,330.25,-92.88070234150655
59392,7424,59392,4925,2462,171.67205412476116,256,256,128,128,2.830349801806733,2.634560226229951,-0.09043025654612258,-0.08778594928685379,-0.08128928201722374,0.19310148630756885,0.33030629268614575,84.98405982740223,82.14641544595361,0.99609375,1.0,8.379161834716797,10.002320289611816,44.003074645996094,50.67827224731445,349.53515625,427.7154235839844,-0.16490668093319982,-1.6076404973864555,0.2452734778951755,0.5032351637015824,0.008092941047825802,0.2740406454540789,0.0,-0.15978170931339264,0.012740617642985737,0.7805185914039612,7,0.0,0.0,2.2857142857142856,0.0,2.142857142857143,0.7142857142857143,0.0,0.0,309.85714285714283,-87.69784962106236
61440,7680,61440,5181,2590,172.31282687612568,256,256,128,128,2.869561697705649,2.701468128943816,-0.09371897675737273,-0.09629315161578234,-0.08749424496869551,0.20331481954781339,0.3414261115831323,81.41312447935343,86.96476945281029,1.0,1.0,9.417267799377441,6.99716329574585,47.47607421875,50.52887725830078,394.99908447265625,312.58453369140625,-0.15399354727196624,-1.5863572983071208,0.2428728207082859,0.5036549022979601,0.00809692875605024,0.29338564682984725,0.0,-0.17234672605991364,0.011228070175438596,0.7885014414787292,6,0.0,0.0,2.0,0.16666666666666666,2.0,0.8333333333333334,0.0,0.16666666666666666,392.8333333333333,-82.6903564787414
63488,7936,63488,5437,2718,172.23495767418288,256,256,128,128,2.5163644095882773,2.4590400198940188,-0.07382180865920418,-0.08187404724594671,-0.06875849370436526,0.20485798211302608,0.32480370660778135,76.03569785505533,83.4341397471726,1.0,1.0,8.779090881347656,8.712845802307129,42.04038619995117,51.09275436401367,427.9922790527344,407.3774108886719,-0.1564819808500033,-1.6141731748357415,0.22854931437136705,0.5029809937482729,0.0077693103831189166,0.2787752557778731,0.0,-0.09659644961357117,0.01172316384180791,0.6323663592338562,6,0.0,0.0,2.1666666666666665,0.0,2.3333333333333335,0.8333333333333334,0.0,0.0,301.8333333333333,-88.27306891597095
65536,8192,65536,5693,2846,172.38209936601086,256,256,128,128,2.6893635771702975,2.567621734109707,-0.06549417683822867,-0.06040385516007518,-0.05598060484544476,0.19507479589083232,0.3203731865505688,92.41172451525927,84.75174667686224,1.0,1.0,9.015602111816406,8.478531837463379,46.13667678833008,54.94208526611328,275.6494445800781,267.8397521972656,-0.17743006447562948,-1.6226020650938153,0.22807773033353002,0.5044939986047572,0.007733970389560927,0.3125345181906596,0.0,-0.3047717213630676,0.01124701251230142,0.6580907106399536,4,0.0,0.0,1.5,0.0,3.0,1.5,0.0,0.0,361.25,-95.64603959619853
67584,8448,67584,5949,2974,172.3857639279253,256,256,128,128,2.629641600418836,2.6058644216973335,-0.04932118515057482,-0.049044453128544774,-0.04508236850358571,0.18335486107389443,0.31336999585619196,79.32074285671115,82.16891847923398,1.0,1.0,6.608880519866943,6.888455390930176,54.3138427734375,53.87852478027344,244.56861877441406,248.787109375,-0.18416102112678345,-1.6365752341225743,0.22472577939358598,0.5034532495642512,0.007392553235077545,0.33273511147126555,0.0,-0.25253963470458984,0.011402027027027027,1.185585618019104,4,0.0,0.0,0.75,1.0,1.5,1.25,0.0,0.75,562.25,-62.28038366897454
69632,8704,69632,6205,3102,172.49330121084378,256,256,128,128,2.5503192321630195,2.6370282762218267,-0.03571405826755836,-0.04874771546064949,-0.030740047550807503,0.19981902607833035,0.3173116722027771,88.13818120211363,107.21380600333214,1.0,0.99609375,7.8260908126831055,7.8639326095581055,43.070526123046875,52.44294357299805,363.5169372558594,599.2130737304688,-0.1936694357837041,-1.6378196272999048,0.2217638049620997,0.5036427754863992,0.007020859370741501,0.3480985740898177,0.0,-0.2104327380657196,0.00988281801496541,1.0126781463623047,3,0.0,0.0,0.6666666666666666,0.0,2.3333333333333335,2.3333333333333335,0.0,0.0,473.3333333333333,-104.77813683341083
