update,env_steps,active_side,block_index,red_policy_loss,red_entropy,red_approx_kl,red_clip_fraction,red_grad_norm,red_advantage_mean,red_advantage_std,red_advantage_nonzero_rate,red_value_loss,red_critic_grad_norm,blue_policy_loss,blue_entropy,blue_approx_kl,blue_clip_fraction,blue_grad_norm,blue_advantage_mean,blue_advantage_std,blue_advantage_nonzero_rate,blue_value_loss,blue_critic_grad_norm,red_mean_episode_return,blue_mean_episode_return,mean_episode_length,red_win_rate,blue_win_rate,draw_rate,boundary_rate,collision_rate,scenario_tail_chase_count,scenario_offset_head_on_count,scenario_crossing_count,tail_rear_red_count,tail_rear_blue_count,red_within_4000_rate,red_attack_distance_entry_rate,red_ata_gate_rate,red_aa_gate_rate,red_distance_and_ata_entry_rate,red_distance_and_aa_entry_rate,red_ata_and_aa_entry_rate,red_full_attack_envelope_entry_rate,red_yaw_rate_saturation_rate,red_pitch_rate_saturation_rate,red_acceleration_saturation_rate,red_nx_saturation_rate,red_nz_saturation_rate,red_phi_saturation_rate,red_acceleration_tracking_mae,red_acceleration_tracking_p95,red_pitch_rate_tracking_mae,red_pitch_rate_tracking_p95,red_yaw_rate_tracking_mae,red_yaw_rate_tracking_p95,red_action_yaw_mean,red_action_yaw_std,red_action_pitch_mean,red_action_pitch_std,red_action_speed_mean,red_action_speed_std,blue_within_4000_rate,blue_attack_distance_entry_rate,blue_ata_gate_rate,blue_aa_gate_rate,blue_distance_and_ata_entry_rate,blue_distance_and_aa_entry_rate,blue_ata_and_aa_entry_rate,blue_full_attack_envelope_entry_rate,blue_yaw_rate_saturation_rate,blue_pitch_rate_saturation_rate,blue_acceleration_saturation_rate,blue_nx_saturation_rate,blue_nz_saturation_rate,blue_phi_saturation_rate,blue_acceleration_tracking_mae,blue_acceleration_tracking_p95,blue_pitch_rate_tracking_mae,blue_pitch_rate_tracking_p95,blue_yaw_rate_tracking_mae,blue_yaw_rate_tracking_p95,blue_action_yaw_mean,blue_action_yaw_std,blue_action_pitch_mean,blue_action_pitch_std,blue_action_speed_mean,blue_action_speed_std,eval_red_win_rate,eval_blue_win_rate,eval_draw_rate,eval_decisive_rate,eval_boundary_rate,eval_collision_rate,eval_mean_episode_length,eval_red_within_4000_rate,eval_red_attack_distance_entry_rate,eval_red_ata_gate_rate,eval_red_aa_gate_rate,eval_red_distance_and_ata_entry_rate,eval_red_distance_and_aa_entry_rate,eval_red_ata_and_aa_entry_rate,eval_red_full_attack_envelope_entry_rate,eval_red_attack_to_kill_conversion_rate,eval_red_kill_rate,eval_red_mean_minimum_distance,eval_red_mean_minimum_combined_violation,eval_blue_within_4000_rate,eval_blue_attack_distance_entry_rate,eval_blue_ata_gate_rate,eval_blue_aa_gate_rate,eval_blue_distance_and_ata_entry_rate,eval_blue_distance_and_aa_entry_rate,eval_blue_ata_and_aa_entry_rate,eval_blue_full_attack_envelope_entry_rate,eval_blue_attack_to_kill_conversion_rate,eval_blue_kill_rate,eval_blue_mean_minimum_distance,eval_blue_mean_minimum_combined_violation
18,2304,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001114625483751297,2.755907654762268,0.0005110390484333038,0.0,0.3177787810564041,3.3527612686157227e-08,1.0,1.0,2.6955989599227905,0.7679541707038879,-10.0,10.0,68.0,0.0,1.0,0.0,0.0,0.0,4,4,3,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8828125,0.703125,0.6484375,0.078125,0.96875,0.0,0.021078889226735804,0.11252362901090934,0.13157929157299017,0.19219127804823102,0.18490847715719125,0.22132709266841677,-0.06235863768051786,0.47779301855363127,0.10288556887553568,0.5026451939030462,0.22599296108091949,0.467184992640716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.6328125,0.53125,0.28125,0.96875,0.0,0.5455301536649025,2.7045974236601533,0.10450729633684072,0.1800447870073799,0.16253033586187177,0.2047023534315519,0.09229252333170734,0.49646008547458215,-0.0645831712463405,0.4872949053840113,-0.026706463978371175,0.44583974574165325,0.25,0.6666666666666666,0.08333333333333333,0.9166666666666666,1.0,0.0,340.1666666666667,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1126.8017390501036,0.6051715592901957,1.0,0.4166666666666667,0.8333333333333334,1.0,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1126.8017390501036,0.6988650479253066
19,2432,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.006109926849603653,2.7545732259750366,0.0007972712628543377,0.0,0.9411587715148926,-7.450580596923828e-09,0.9999973177909851,1.0,0.0005083456298962119,0.0448085255920887,nan,nan,nan,nan,nan,nan,nan,nan,4,4,3,2,2,nan,nan,nan,nan,nan,nan,nan,nan,0.8359375,0.7109375,0.59375,0.0859375,1.0,0.0,0.1823300496129164,1.7373476520658522,0.13049816195294528,0.19666375628131047,0.19073906508887017,0.23514817773547145,-0.03005434611986857,0.47897876618017454,0.08579144409759465,0.48208227911461715,0.21963360426889267,0.4400997730687593,nan,nan,nan,nan,nan,nan,nan,nan,0.8828125,0.3203125,0.484375,0.34375,0.9375,0.0,1.1981409386413349,4.425404909585573,0.07264499387069726,0.16562895064908023,0.13578523822241262,0.19347028112170875,0.13853416998972534,0.4532865300411608,-0.08791223789739888,0.46778824524554175,0.014069727847527247,0.4626567103243811,0.25,0.6666666666666666,0.08333333333333333,0.9166666666666666,1.0,0.0,340.1666666666667,1.0,0.4166666666666667,0.5,1.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.0,1126.8017390501036,0.6051715592901957,1.0,0.4166666666666667,0.8333333333333334,1.0,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1126.8017390501036,0.6988650479253066
20,2560,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0037795379757881165,2.7534708976745605,0.0008951877243816853,0.00390625,0.6998716592788696,-1.4901161193847656e-08,0.9999972581863403,1.0,0.00018705578713706927,0.029154065065085888,nan,nan,nan,nan,nan,nan,nan,nan,4,4,3,2,2,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.53125,0.640625,0.1796875,0.9921875,0.0,0.40171196774535256,3.4651302320358193,0.1327061199703155,0.19825656013677623,0.20298733780591166,0.2395939181724381,0.0014674191006633919,0.5254685633325844,0.11487562621186953,0.46900950921076506,0.2002198177324317,0.46588306648224964,nan,nan,nan,nan,nan,nan,nan,nan,0.84375,0.3203125,0.5859375,0.484375,0.9140625,0.0,1.9496574430223936,4.722359726232916,0.06968328730003451,0.17046869738407458,0.1319782475246345,0.20469201469797343,0.06997130730451318,0.4587052376661373,0.00809455222224642,0.4734205522741396,-0.10436610420583747,0.4735524984366232,0.5,0.5,0.0,1.0,1.0,0.0,308.5833333333333,1.0,0.5833333333333334,0.6666666666666666,1.0,0.08333333333333333,0.5833333333333334,0.16666666666666666,0.0,0.0,0.0,1071.7059846556315,0.6019580312629382,1.0,0.5833333333333334,0.75,1.0,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1071.7059846556315,0.7458759259107389
21,2688,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001826058141887188,2.7526752948760986,0.0002983752638101578,0.0,0.8176173567771912,2.7939677238464355e-08,1.0,1.0,6.8102521896362305,4.720666885375977,7.3449999345466495,-8.150000000372529,304.0,1.0,0.0,0.0,1.0,0.0,4,4,4,2,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8671875,0.640625,0.4296875,0.1875,0.984375,0.0,0.3186299785820704,3.666026899434483,0.13964311972318796,0.20278412659461342,0.2064016652538578,0.24381213824426343,-0.10561575460451422,0.48651030784421806,0.15152569630572543,0.4792993636051364,0.2238756865626783,0.47695307899008993,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8046875,0.40625,0.46875,0.3359375,0.953125,0.0,1.1604934270235108,4.65327876273314,0.08102645908416364,0.1750089713173708,0.1412824407013398,0.20776653981203347,0.08363407486649521,0.45244989786140666,0.0164635870460188,0.481241723378409,0.011009375542016642,0.4254210480467749,0.5,0.5,0.0,1.0,1.0,0.0,308.5833333333333,1.0,0.5833333333333334,0.6666666666666666,1.0,0.08333333333333333,0.5833333333333334,0.16666666666666666,0.0,0.0,0.0,1071.7059846556315,0.6019580312629382,1.0,0.5833333333333334,0.75,1.0,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1071.7059846556315,0.7458759259107389
22,2816,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00022245105355978012,2.751960277557373,2.5614630430936813e-05,0.0,0.47922979295253754,6.51925802230835e-09,1.0,1.0,6.514559268951416,4.102912425994873,10.0,-10.0,299.0,1.0,0.0,0.0,1.0,0.0,5,4,4,3,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8046875,0.7578125,0.6015625,0.0703125,0.984375,0.0,0.04340942679098929,0.2840501281704374,0.14225507032972684,0.2040273396437075,0.19088653472801456,0.2426092708750882,0.021415388275272562,0.43718772943415835,0.10615170848905109,0.4901229069514219,0.18904151456081308,0.4722036240346643,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.890625,0.5546875,0.5234375,0.140625,0.953125,0.0,0.5059662885529955,4.691598126246753,0.09810453590798694,0.1868881968620226,0.1614932515588908,0.20972068187188897,0.05346550975446007,0.47221493765878425,0.013438593795399356,0.4667282461763017,0.01759573831805028,0.4489592846388405,0.5,0.5,0.0,1.0,1.0,0.0,308.5833333333333,1.0,0.5833333333333334,0.6666666666666666,1.0,0.08333333333333333,0.5833333333333334,0.16666666666666666,0.0,0.0,0.0,1071.7059846556315,0.6019580312629382,1.0,0.5833333333333334,0.75,1.0,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1071.7059846556315,0.7458759259107389
23,2944,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0018778336234390736,2.7519506216049194,0.0001272244844585657,0.0,0.7889357209205627,-4.470348358154297e-08,0.9999998807907104,1.0,0.050074854865670204,0.43224668502807617,nan,nan,nan,nan,nan,nan,nan,nan,5,4,4,3,2,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.640625,0.6171875,0.1328125,0.9609375,0.0,0.13393249554662517,1.1723594331733227,0.1270898968813235,0.19540815016304808,0.18458428042907826,0.22866391966465696,-0.08942279963230249,0.48276095307363703,0.16386789761418186,0.4473031624235281,0.12198501053694599,0.49802600176132056,nan,nan,nan,nan,nan,nan,nan,nan,0.8359375,0.6875,0.546875,0.1875,0.984375,0.0,0.2700537366094693,1.8848613264810066,0.10733414244504878,0.18518738133463808,0.1628152087366231,0.21028955161502705,0.04084291860817757,0.46108627670624486,-0.02101733870949829,0.44957884810811843,0.13789350150000246,0.4334070077246953,0.5,0.5,0.0,1.0,1.0,0.0,308.5833333333333,1.0,0.5833333333333334,0.6666666666666666,1.0,0.08333333333333333,0.5833333333333334,0.16666666666666666,0.0,0.0,0.0,1071.7059846556315,0.6019580312629382,1.0,0.5833333333333334,0.75,1.0,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1071.7059846556315,0.7458759259107389
24,3072,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0005502905696630478,2.7519298791885376,0.0001422087661921978,0.0,0.5187462866306305,9.313225746154785e-09,0.9999998807907104,1.0,0.01694921124726534,0.24249732494354248,nan,nan,nan,nan,nan,nan,nan,nan,5,4,4,3,2,nan,nan,nan,nan,nan,nan,nan,nan,0.9296875,0.734375,0.5625,0.1015625,1.0,0.0,0.14646854872679055,1.4637032797528422,0.14427748990516165,0.1993967336820539,0.20576218618015635,0.236347333118239,-0.0012611750571522862,0.4991755314813206,0.16419947995018447,0.48426592022577575,0.19626607943428098,0.4510651226679213,nan,nan,nan,nan,nan,nan,nan,nan,0.8671875,0.515625,0.6015625,0.3359375,0.984375,0.0,0.9778624152537909,3.834636887992656,0.10289921340888115,0.1832432493790461,0.16398620104722827,0.21395717155651756,0.07084932396901422,0.4732040744150663,0.0038582338675041683,0.44160098151259053,0.05953574583691079,0.4877773921296483,0.5,0.5,0.0,1.0,1.0,0.0,308.5833333333333,1.0,0.5833333333333334,0.6666666666666666,1.0,0.08333333333333333,0.5833333333333334,0.16666666666666666,0.0,0.0,0.0,1071.7059846556315,0.6019580312629382,1.0,0.5833333333333334,0.75,1.0,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1071.7059846556315,0.7458759259107389
25,3200,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0006273286417126656,2.751898407936096,9.3899667263031e-05,0.0,1.0276175141334534,4.284083843231201e-08,0.9999986290931702,1.0,0.0009022985759656876,0.07353050261735916,nan,nan,nan,nan,nan,nan,nan,nan,5,4,4,3,2,nan,nan,nan,nan,nan,nan,nan,nan,0.8984375,0.59375,0.6953125,0.1484375,1.0,0.0,0.40979647210958997,3.39494258411915,0.1397235401560914,0.19856900725343343,0.20633672053023844,0.23920754589447077,-0.0828814885171596,0.49143494404940824,0.10783262920813286,0.45849278224405643,0.15269419875130552,0.5285197456950659,nan,nan,nan,nan,nan,nan,nan,nan,0.8203125,0.375,0.578125,0.28125,0.9296875,0.0,0.9609401683838185,4.089005776845873,0.09549173169100755,0.17758577131275904,0.159162071101914,0.21276606567111855,0.05632900826185505,0.4870403918449037,0.04274997053653351,0.48182389903919665,0.14836479482892173,0.47181843328778433,0.5833333333333334,0.4166666666666667,0.0,1.0,1.0,0.0,342.25,1.0,0.6666666666666666,0.75,1.0,0.25,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,979.5492497873839,0.5460391677426787,1.0,0.6666666666666666,0.5,1.0,0.0,0.5833333333333334,0.16666666666666666,0.0,0.0,0.0,979.5492497873839,0.7529338846880337
26,3328,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0024722274392843246,2.751819610595703,0.00042622024193406105,0.0,0.6518349945545197,7.450580596923828e-09,1.0000001192092896,1.0,6.330005168914795,4.543328762054443,10.0,-10.0,330.0,1.0,0.0,0.0,1.0,0.0,5,5,4,3,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.859375,0.5703125,0.3984375,0.171875,1.0,0.0,0.2389353500796045,2.2787679665626523,0.13240598060865233,0.1990585044873741,0.20668826373404317,0.24489744567807956,-0.055858749234175775,0.46694876658910445,0.11597379828162957,0.4914380208743501,0.18646390316280304,0.4610812752950588,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.859375,0.4296875,0.6640625,0.3359375,0.9609375,0.0,1.2928196114264359,4.597497268280561,0.09530666874013782,0.1835359008824143,0.17090814483438532,0.22307026921963902,-0.011867673850247229,0.5039800346690855,0.01279892342427047,0.5168472087534004,0.10438160210469505,0.4870151433728567,0.5833333333333334,0.4166666666666667,0.0,1.0,1.0,0.0,342.25,1.0,0.6666666666666666,0.75,1.0,0.25,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,979.5492497873839,0.5460391677426787,1.0,0.6666666666666666,0.5,1.0,0.0,0.5833333333333334,0.16666666666666666,0.0,0.0,0.0,979.5492497873839,0.7529338846880337
27,3456,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0012183990329504013,2.751871347427368,0.00018416950479149818,0.0,0.40190236270427704,9.313225746154785e-09,0.9999999403953552,1.0,3.9238632917404175,1.7190990447998047,12.159999951720238,-12.865000005811453,281.0,1.0,0.0,0.0,1.0,0.0,5,5,5,3,2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8984375,0.7109375,0.5703125,0.0078125,1.0,0.0,0.0016109884308015828,8.881784197001252e-16,0.127275279315181,0.1917852277924057,0.1856265142761095,0.2177733649186162,-0.04553245381976012,0.5146162805506623,0.09623480486334302,0.48593699338934104,0.1958006786808255,0.43003967202631366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8515625,0.6953125,0.5859375,0.125,0.9609375,0.0,0.12819131385343885,0.6662620145117739,0.10392909843345778,0.18368325147489284,0.16423836420503196,0.20617068729930857,0.007968568637807039,0.4922661180846476,-0.037866053158722934,0.48886784521276494,0.1657557661451392,0.4394475480622162,0.5833333333333334,0.4166666666666667,0.0,1.0,1.0,0.0,342.25,1.0,0.6666666666666666,0.75,1.0,0.25,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,979.5492497873839,0.5460391677426787,1.0,0.6666666666666666,0.5,1.0,0.0,0.5833333333333334,0.16666666666666666,0.0,0.0,0.0,979.5492497873839,0.7529338846880337
28,3584,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.00011931173503398895,2.7520831823349,0.00027930992655456066,0.0,0.7077497839927673,-6.51925802230835e-09,0.9999992847442627,1.0,0.0009366528538521379,0.06601463817059994,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,3,2,nan,nan,nan,nan,nan,nan,nan,nan,0.78125,0.671875,0.671875,0.1171875,0.9921875,0.0,0.04714391303776383,0.45043132379247247,0.12470779496377743,0.19541917793630942,0.18349502856598476,0.224829015683347,0.07566422302625142,0.46251081498615315,0.13297070932821953,0.4552555522780131,0.18024324129510205,0.47546570992572945,nan,nan,nan,nan,nan,nan,nan,nan,0.8515625,0.6328125,0.59375,0.2109375,0.9765625,0.0,0.4295204584053721,2.69068614132679,0.11096059314412161,0.18279771799531416,0.16834033346156285,0.20990488494939855,0.009885354724247009,0.483013269774954,-0.01728360601737222,0.4873967478053376,0.1784013389988104,0.45122416026043527,0.5833333333333334,0.4166666666666667,0.0,1.0,1.0,0.0,342.25,1.0,0.6666666666666666,0.75,1.0,0.25,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,979.5492497873839,0.5460391677426787,1.0,0.6666666666666666,0.5,1.0,0.0,0.5833333333333334,0.16666666666666666,0.0,0.0,0.0,979.5492497873839,0.7529338846880337
29,3712,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002957048825919628,2.752328038215637,0.0005111305508762598,0.0,0.9723030626773834,-1.043081283569336e-07,0.9999994039535522,1.0,0.001907441532239318,0.12288027629256248,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,3,2,nan,nan,nan,nan,nan,nan,nan,nan,0.78125,0.7421875,0.6328125,0.25,0.984375,0.0,0.26519652513977665,1.6801494243559827,0.13109363906082122,0.19870522067690452,0.18189399988976834,0.23278620307502365,-0.06930979650496738,0.4355046036933172,0.11589829724084666,0.4950244611520924,0.17657280177081702,0.48968972827695595,nan,nan,nan,nan,nan,nan,nan,nan,0.8203125,0.296875,0.6953125,0.34375,0.9375,0.0,1.3370548634105097,4.5872845676317295,0.0804490104065593,0.17872782561367345,0.1549527192814252,0.21544647161870759,0.002881163076381199,0.46214621267567785,-0.08913294444209896,0.4958890465433915,0.09703898794577981,0.49509386755406737,0.5833333333333334,0.4166666666666667,0.0,1.0,1.0,0.0,342.25,1.0,0.6666666666666666,0.75,1.0,0.25,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,979.5492497873839,0.5460391677426787,1.0,0.6666666666666666,0.5,1.0,0.0,0.5833333333333334,0.16666666666666666,0.0,0.0,0.0,979.5492497873839,0.7529338846880337
30,3840,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0026593776419758797,2.7526506185531616,0.00023331493139266968,0.0,0.9147543609142303,1.043081283569336e-07,0.9999995231628418,1.0,0.003334866021759808,0.1841897964477539,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,3,2,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.6640625,0.6875,0.1953125,1.0,0.0,0.35289655146846716,3.0288297866666216,0.14478453858628354,0.2040370073835659,0.20969758580476766,0.24177211407351332,-0.07301387392362813,0.4537927193063623,0.17676146623853128,0.4743077618663272,0.23734850619075587,0.4816469526790026,nan,nan,nan,nan,nan,nan,nan,nan,0.8359375,0.25,0.625,0.3671875,0.9453125,0.0,1.5578641761101688,4.810124639963766,0.06135660730029388,0.17914773993206387,0.15684399466662402,0.21952629107184757,-0.036172221105516655,0.4875261412382688,-0.11148145014522015,0.4584475479084146,0.049562880385110475,0.5089739747168053,1.0,0.0,0.0,1.0,0.9166666666666666,0.0,234.33333333333334,1.0,0.4166666666666667,0.6666666666666666,1.0,0.25,0.4166666666666667,0.3333333333333333,0.08333333333333333,1.0,0.08333333333333333,1161.783828828888,0.60507378808645,1.0,0.4166666666666667,0.5,0.9166666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1161.783828828888,0.7635917429981888
31,3968,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0012939618900418282,2.7530282735824585,5.631870590150356e-05,0.0,0.673139214515686,-2.7939677238464355e-08,1.0,1.0,10.306333541870117,5.982189893722534,10.0,-10.0,274.5,1.0,0.0,0.0,1.0,0.0,6,6,5,3,3,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.8125,0.6328125,0.71875,0.0546875,1.0,0.0,0.13745763998515761,0.24735819964867892,0.12101602071882475,0.19568810111275156,0.17325742706234476,0.2394149417145974,0.02677355797823111,0.472057332100084,0.07978187024127692,0.439284663314374,0.34078368491100264,0.4398912220676236,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.8984375,0.6484375,0.6328125,0.1875,0.984375,0.0,0.4777177424980876,4.621541864786716,0.10248686025084858,0.19093277855775298,0.176502934747998,0.2226878261106672,-0.10353026837401558,0.48391593499718627,-0.08385981980973156,0.5215044099304342,0.11008690445828506,0.4860552874684339,1.0,0.0,0.0,1.0,0.9166666666666666,0.0,234.33333333333334,1.0,0.4166666666666667,0.6666666666666666,1.0,0.25,0.4166666666666667,0.3333333333333333,0.08333333333333333,1.0,0.08333333333333333,1161.783828828888,0.60507378808645,1.0,0.4166666666666667,0.5,0.9166666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1161.783828828888,0.7635917429981888
32,4096,blue,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0009149042889475822,2.753733515739441,5.544768646359444e-05,0.0,0.9578401148319244,7.450580596923828e-09,0.9999996423721313,1.0,0.0007466467213816941,0.039991891011595726,nan,nan,nan,nan,nan,nan,nan,nan,6,6,5,3,3,nan,nan,nan,nan,nan,nan,nan,nan,0.8203125,0.75,0.65625,0.0,1.0,0.0,3.5778671692021646e-17,7.355227538141638e-17,0.1384447913601113,0.19672126485006622,0.1860647894694728,0.22698071902967,-0.0045831331408408005,0.4691954835585105,0.24230338372035476,0.4470018994024543,0.202380667309626,0.47067752516162226,nan,nan,nan,nan,nan,nan,nan,nan,0.8671875,0.6015625,0.4765625,0.2578125,0.9921875,0.0,0.5135415380878509,2.823162205978178,0.10303860072180625,0.18179879513917857,0.16458375900884403,0.21250105645238826,0.034282066524610855,0.4812118244581474,-0.08429793102914118,0.46308720976217027,0.04937912301693359,0.4425439199514717,1.0,0.0,0.0,1.0,0.9166666666666666,0.0,228.25,1.0,0.4166666666666667,0.6666666666666666,1.0,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.08333333333333333,1.0,0.08333333333333333,1198.529450125817,0.6070793123096881,1.0,0.4166666666666667,0.5,0.9166666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1198.529450125817,0.8062981821507827
33,4224,red,2,-0.0009997133165597916,2.7658438682556152,0.00014176080003380775,0.0,0.48253412544727325,-2.9802322387695312e-08,1.0000001192092896,1.0,0.4598512649536133,1.1220028400421143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,6,6,4,3,nan,nan,nan,nan,nan,nan,nan,nan,0.828125,0.6796875,0.671875,0.0,0.9921875,0.0,3.8163916471489756e-17,1.8318679906314988e-16,0.12620397976108877,0.1949921636270939,0.1774338459863169,0.222877445509395,-0.028611689442641364,0.48157199027568565,0.13309088459573104,0.4899163420545109,0.22170420864131302,0.4529525756578121,nan,nan,nan,nan,nan,nan,nan,nan,0.859375,0.5859375,0.6640625,0.0625,0.984375,0.0,0.05503305548459317,0.24452753770873828,0.09546265482113955,0.18961804314383304,0.16234152950266967,0.21437545176822434,-0.09400103827647399,0.45568655826850496,-0.07306558133859653,0.42199059886829254,0.16018222660932224,0.4698392133177999,1.0,0.0,0.0,1.0,0.9166666666666666,0.0,228.25,1.0,0.4166666666666667,0.6666666666666666,1.0,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.08333333333333333,1.0,0.08333333333333333,1198.529450125817,0.6070793123096881,1.0,0.4166666666666667,0.5,0.9166666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1198.529450125817,0.8062981821507827
34,4352,red,2,-0.0005075782537460327,2.7661155462265015,0.00016397098079323769,0.0,0.3876684904098511,-1.4901161193847656e-08,0.999999463558197,1.0,0.00048124208115041256,0.017670887988060713,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,6,6,4,3,nan,nan,nan,nan,nan,nan,nan,nan,0.859375,0.6796875,0.546875,0.015625,0.9609375,0.0,0.004465112676673832,8.881784197001252e-16,0.13449257151694444,0.19780022496438368,0.19072294631522418,0.22853072092075055,-0.08044002388851368,0.4911262861069452,0.14126551369736262,0.44934847957988994,0.15123446053075895,0.4537403572745294,nan,nan,nan,nan,nan,nan,nan,nan,0.828125,0.46875,0.6328125,0.328125,0.9765625,0.0,0.8493719333872495,4.161415274520954,0.09070785943437926,0.18394561589600955,0.14997763356675356,0.21296059133319417,-0.1424450069471277,0.44552013996138645,-0.08573574044567067,0.45357298519944883,0.09124093568243552,0.4727126565348876,1.0,0.0,0.0,1.0,0.9166666666666666,0.0,228.25,1.0,0.4166666666666667,0.6666666666666666,1.0,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.08333333333333333,1.0,0.08333333333333333,1198.529450125817,0.6070793123096881,1.0,0.4166666666666667,0.5,0.9166666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1198.529450125817,0.8062981821507827
35,4480,red,2,0.00022681429982185364,2.7661787271499634,0.00011110445484519005,0.0,0.7789855599403381,-1.862645149230957e-08,0.9999998211860657,1.0,0.0043923454359173775,0.13618219643831253,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,6,6,4,3,nan,nan,nan,nan,nan,nan,nan,nan,0.859375,0.671875,0.671875,0.2578125,0.984375,0.0,0.21708029795501732,1.1222373243724886,0.1377976760181075,0.19823330045705162,0.1972591112500538,0.2343120685295565,-0.05199262103815272,0.4591450155835446,0.1630358904831155,0.49079489822334926,0.11675753472081851,0.4975009312522494,nan,nan,nan,nan,nan,nan,nan,nan,0.8671875,0.2109375,0.6484375,0.3984375,0.9609375,0.0,1.4851842567730478,4.9031195926377835,0.059938549928099716,0.17510807156087288,0.14340415531907763,0.20895383105543167,-0.006994286704866681,0.46839750284764275,-0.13354252790577448,0.4512922428603675,0.06583613866678206,0.510293352846102,0.9166666666666666,0.08333333333333333,0.0,1.0,0.9166666666666666,0.0,225.33333333333334,1.0,0.4166666666666667,0.75,1.0,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.08333333333333333,1.0,0.08333333333333333,1204.6248506789104,0.5895459196824601,1.0,0.4166666666666667,0.5,0.9166666666666666,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1204.6248506789104,0.7944224626394761
